,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352
mMe-2fur,0.035035035,0.124124124,0.016016016,0.033033033,0,0,0,0,0,0.007007007,0.02002002,0.01001001,0.013013013,0.01001001,0.024024024,0.016016016,0.01001001,0,0,0,0,0.002002002,0.014014014,0.005005005,0.075075075,0.011011011,0.047047047,0.032032032,0.029029029,0.035035035,0.004004004,0,0.008008008,0.004004004,0.004004004,0.004004004,0.076076076,0.036036036,0.064064064,0.015015015,0.019019019,0.025025025,0.005005005,0.006006006,0,0,0,0,0.021021021,0.014014014,0.328328328,0.033033033,0.01001001,0.032032032,1,0.234234234,0.025025025,0.017017017,0.002002002,0,0,0.008008008,0.051051051,0.045045045,0.177177177,0.026026026,0.016016016,0.007007007,0.003003003,0,0,0,0,0,0.013013013,0.008008008,0.023023023,0.037037037,0.016016016,0.009009009,0.004004004,0,0,0,0,0.003003003,0.006006006,0.009009009,0.009009009,0.044044044,0.024024024,0.048048048,0.017017017,0.007007007,0.005005005,0,0.017017017,0.008008008,0.007007007,0.002002002,0.002002002,0.003003003,0.008008008,0.06006006,0.034034034,0.052052052,0.011011011,0.002002002,0.008008008,0,0,0,0,0.002002002,0,0.006006006,0.005005005,0.026026026,0.01001001,0.036036036,0.004004004,0,0,0,0.002002002,0,0,0.002002002,0,0.005005005,0.004004004,0.189189189,0.033033033,0.005005005,0,0,0,0,0,0,0,0.006006006,0,0.074074074,0.028028028,0.042042042,0.013013013,0.009009009,0,0,0.002002002,0,0.002002002,0,0.002002002,0,0,0.002002002,0,0,0.053053053,0.026026026,0.005005005,0,0,0,0.015015015,0.004004004,0.003003003,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0.011011011,0.003003003,0.044044044,0.007007007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005005005,0.501501502,0.09009009,0.01001001,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0.006006006,0.002002002,0,0,0,0,0,0,0,0,0,0,0.013013013,0.003003003,0.002002002,0,0.917917918,0.184184184,0.021021021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0
mMe,0.051051051,0.182182182,0.023023023,0,0,0,0,0,0,0,0.025025025,0.027027027,0,0,0.035035035,0.019019019,0.322322322,0,0,0,0,0,0.03003003,0,0.146146146,0.012012012,0.012012012,0.023023023,0.047047047,0.071071071,0.005005005,0,0,0,0.006006006,0.013013013,0.112112112,0.049049049,0.106106106,0.024024024,0,0,0.01001001,0,0,0,0.002002002,0,0.015015015,0.01001001,0.409409409,0.035035035,0.009009009,0.017017017,0.042042042,0.109109109,0.018018018,0,0,0,0,0,0.071071071,0.033033033,0.268268268,0.057057057,0.016016016,0,0,0,0,0,0,0,0.022022022,0,0.04004004,0.092092092,0.028028028,0.034034034,0,0,0,0,0,0,0.005005005,0.011011011,0.009009009,0.139139139,0.04004004,0.114114114,0.056056056,0.021021021,0,0,0,0,0.017017017,0,0,0.003003003,0.008008008,0.111111111,0.097097097,0.139139139,0.035035035,0,0,0,0,0,0,0,0,0,0,0.022022022,0.012012012,1,0.146146146,0.019019019,0,0.017017017,0,0,0,0,0,0,0,0.166166166,0.052052052,0,0,0,0,0,0,0,0,0,0,0.015015015,0.003003003,0.041041041,0.011011011,0.028028028,0,0,0.006006006,0,0,0,0,0,0,0,0,0,0.012012012,0.023023023,0.457457457,0.104104104,0,0,0,0,0,0,0,0,0,0,0,0.249249249,0.045045045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972972973,0.177177177,0.022022022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005005005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oMe-Ac,0.056056056,0.22022022,0.399399399,0.087087087,0.01001001,0.007007007,0,0,0,0.011011011,0.029029029,0,0.033033033,0.018018018,0,0.029029029,0.024024024,0.013013013,0,0,0,0.008008008,0.03003003,0,0.172172172,0.012012012,0.045045045,0.048048048,0.029029029,0.05005005,0,0,0,0,0,0,0.195195195,0.061061061,0.098098098,0.016016016,0,0.047047047,0,0,0,0.004004004,0,0,0.029029029,0.024024024,0.414414414,0.058058058,0.011011011,0.02002002,0.028028028,0.167167167,0.027027027,0,0,0,0,0.019019019,0.083083083,0.043043043,0.249249249,0.05005005,0.035035035,0.024024024,0.002002002,0.005005005,0,0,0,0,0.013013013,0.018018018,0.078078078,0.161161161,0.031031031,0.024024024,0,0,0,0,0,0,0,0,0,0.108108108,0.037037037,0.134134134,0.017017017,0.02002002,0,0,0,0,0.008008008,0,0.004004004,0,0.017017017,0.087087087,0.083083083,0.084084084,0.007007007,0,0.012012012,0.003003003,0,0,0,0,0,0,0,0.019019019,0.016016016,0.962962963,0.114114114,0.014014014,0,0.007007007,0,0,0,0,0,0,0.007007007,0.245245245,0.043043043,0.007007007,0,0,0,0,0,0,0,0,0,0.008008008,0.002002002,0.035035035,0.014014014,0.014014014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684684685,0.239239239,0.025025025,0,0,0,0,0,0,0,0,0,0,0,0.009009009,0,0,0.002002002,0,0,0,0,0,0,0,0.006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.184184184,0.012012012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007007007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4'-Me Ac,0.06006006,0.249249249,0.167167167,0.159159159,0.002002002,0,0,0,0,0.004004004,0.024024024,0.007007007,0.014014014,0.014014014,0.026026026,0.026026026,0.018018018,0.002002002,0.001001001,0,0,0.002002002,0.006006006,0.005005005,0.029029029,0.01001001,0.031031031,0.025025025,0.027027027,0.042042042,0.002002002,0.002002002,0.004004004,0.003003003,0.001001001,0.004004004,0.128128128,0.023023023,0.036036036,0.01001001,0.005005005,0.026026026,0.005005005,0.007007007,0,0.001001001,0.001001001,0,0.005005005,0.004004004,0.092092092,0.016016016,0.057057057,0.031031031,0.02002002,0.105105105,0.019019019,0.009009009,0.001001001,0,0.001001001,0.005005005,0.036036036,0.058058058,0.113113113,0.035035035,0.005005005,0.001001001,0,0,0,0.001001001,0,0,0.022022022,0.007007007,0.061061061,0.109109109,0.123123123,0.016016016,0.001001001,0,0,0,0.001001001,0.001001001,0.002002002,0.002002002,0.005005005,0.057057057,0.042042042,0.083083083,0.012012012,0.003003003,0.01001001,0.005005005,0,0,0.003003003,0,0.001001001,0.001001001,0.004004004,0.019019019,0.012012012,0.512512513,0.053053053,0.011011011,0.002002002,0,0,0,0,0.001001001,0,0.003003003,0.002002002,0.09009009,0.018018018,0.006006006,0,0,0,0,0,0.002002002,0,0,0,0.002002002,0,0.007007007,0.002002002,0.008008008,0,0,0,0,0,0.001001001,0,0.001001001,0,0.001001001,0,0.001001001,0.011011011,0.332332332,0.175175175,0.022022022,0.003003003,0,0.003003003,0,0.002002002,0,0.001001001,0.005005005,0.003003003,0.013013013,0.002002002,0.013013013,0,0,0.001001001,0.001001001,0.009009009,0,0.001001001,0,0,0,0,0,0.001001001,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,1,0.167167167,0.014014014,0.002002002,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005005005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0.002002002,0,0.001001001,0.003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b-Me Ac,0.039039039,0.127127127,0.142142142,0.064064064,0.002002002,0,0,0,0,0.005005005,0.019019019,0.006006006,0.007007007,0.009009009,0.016016016,0.016016016,0.011011011,0.002002002,0,0,0,0.002002002,0.008008008,0.005005005,0.024024024,0.011011011,0.026026026,0.026026026,0.024024024,0.037037037,0.004004004,0.002002002,0.002002002,0.003003003,0.004004004,0.007007007,0.147147147,0.041041041,0.066066066,0.014014014,0.005005005,0.026026026,0.004004004,0.006006006,0,0,0,0,0.006006006,0.005005005,0.164164164,0.021021021,0.06006006,0.039039039,0.02002002,0.105105105,0.015015015,0.006006006,0,0,0,0.008008008,0.064064064,0.081081081,0.206206206,0.041041041,0.003003003,0,0,0,0,0,0,0,0.018018018,0.008008008,0.044044044,0.109109109,0.031031031,0.01001001,0.002002002,0,0,0,0,0,0,0.003003003,0.004004004,0.061061061,0.041041041,0.096096096,0.015015015,0.003003003,0.012012012,0.006006006,0,0,0.005005005,0,0,0,0.004004004,0.02002002,0.012012012,0.57957958,0.058058058,0.009009009,0,0,0,0,0,0,0,0.003003003,0.002002002,0.093093093,0.018018018,0.008008008,0.002002002,0,0,0,0,0,0,0,0,0,0,0.005005005,0.002002002,0.007007007,0,0,0,0,0,0,0,0,0,0.003003003,0,0.002002002,0.011011011,0.331331331,0.192192192,0.024024024,0.002002002,0,0,0,0,0,0,0.006006006,0.005005005,0.011011011,0.003003003,0.01001001,0.002002002,0,0,0,0.004004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166166166,0.015015015,0.001001001,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b-Me,0.05005005,0.153153153,0.025025025,0.093093093,0.003003003,0,0,0,0,0.007007007,0.026026026,0.008008008,0.009009009,0.012012012,0.027027027,0.026026026,0.161161161,0.008008008,0,0,0,0.002002002,0.009009009,0.005005005,0.024024024,0.009009009,0.027027027,0.031031031,0.03003003,0.052052052,0.005005005,0.001001001,0.004004004,0.004004004,0.004004004,0.007007007,0.151151151,0.041041041,0.061061061,0.014014014,0.005005005,0.034034034,0.006006006,0.012012012,0.001001001,0.001001001,0,0.001001001,0.006006006,0.005005005,0.218218218,0.024024024,0.061061061,0.043043043,0.024024024,0.091091091,0.021021021,0.009009009,0.001001001,0,0,0.007007007,0.055055055,0.058058058,0.18018018,0.038038038,0.003003003,0.001001001,0,0,0.001001001,0,0,0,0.019019019,0.007007007,0.043043043,0.086086086,0.036036036,0.01001001,0.001001001,0,0,0,0,0,0.001001001,0.003003003,0.005005005,0.07007007,0.048048048,0.103103103,0.019019019,0.004004004,0.002002002,0,0,0,0.009009009,0.001001001,0.001001001,0.001001001,0.004004004,0.019019019,0.011011011,0.591591592,0.068068068,0.01001001,0.008008008,0.004004004,0,0,0,0.001001001,0,0.003003003,0.002002002,0.054054054,0.014014014,0.008008008,0.001001001,0.001001001,0,0,0,0,0,0,0,0.002002002,0,0.005005005,0.003003003,0.007007007,0.001001001,0,0,0,0,0,0,0,0,0.003003003,0.001001001,0.001001001,0.014014014,0.013013013,0.377377377,0.052052052,0.004004004,0.001001001,0,0,0,0,0,0.005005005,0.004004004,0.012012012,0.002002002,0.127127127,0.019019019,0.001001001,0,0,0.006006006,0.001001001,0,0,0,0,0,0,0,0.004004004,0,0,0,0,0,0,0,0,0,0,0.001001001,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,1,0.166166166,0.017017017,0.001001001,0,0,0,0,0.003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001001,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0.001001001,0,0,0
mMe-Ac,0.046046046,0.19019019,0.287287287,0.083083083,0.003003003,0,0,0,0,0.011011011,0.018018018,0.012012012,0.009009009,0.015015015,0.025025025,0.02002002,0.015015015,0.002002002,0,0,0,0.003003003,0.018018018,0.007007007,0.1001001,0.01001001,0.019019019,0.031031031,0.031031031,0.048048048,0.005005005,0,0.006006006,0.003003003,0.004004004,0.007007007,0.106106106,0.045045045,0.086086086,0.022022022,0.008008008,0.028028028,0.005005005,0.008008008,0,0,0,0,0.026026026,0.018018018,0.408408408,0.042042042,0.012012012,0.026026026,0.023023023,0.158158158,0.013013013,0.007007007,0,0,0,0.01001001,0.061061061,0.053053053,0.206206206,0.066066066,0.077077077,0.023023023,0.001001001,0,0,0,0,0,0.01001001,0.007007007,0.038038038,0.057057057,0.021021021,0.027027027,0.001001001,0,0,0,0,0,0,0.004004004,0.005005005,0.06006006,0.041041041,0.119119119,0.026026026,0.017017017,0.002002002,0,0,0,0.003003003,0,0,0.002002002,0.004004004,0.062062062,0.051051051,0.094094094,0.013013013,0.004004004,0.019019019,0.004004004,0,0,0,0,0,0.004004004,0.004004004,0.018018018,0.011011011,0.625625626,0.082082082,0.008008008,0,0,0,0,0,0,0,0.003003003,0.002002002,0.113113113,0.02002002,0.007007007,0,0,0,0,0,0,0,0.003003003,0,0.014014014,0.009009009,0.033033033,0.009009009,0.003003003,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0.007007007,0.341341341,0.173173173,0.022022022,0.001001001,0,0.008008008,0.002002002,0.003003003,0,0,0,0,0,0,0.006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,1,0.166166166,0.016016016,0.001001001,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2'-Me,0.035035035,0.112112112,0.018018018,0.056056056,0.003003003,0,0,0,0,0.008008008,0.028028028,0.008008008,0.011011011,0.011011011,0.024024024,0.015015015,0.15015015,0.006006006,0,0,0,0.003003003,0.015015015,0.006006006,0.044044044,0.019019019,0.025025025,0.029029029,0.025025025,0.032032032,0.004004004,0,0.013013013,0.004004004,0.006006006,0.008008008,0.157157157,0.038038038,0.072072072,0.015015015,0.004004004,0.025025025,0.005005005,0.006006006,0.002002002,0.002002002,0.002002002,0,0.011011011,0.006006006,0.11011011,0.014014014,0.175175175,0.049049049,0.02002002,0.144144144,0.018018018,0.009009009,0,0,0.002002002,0.005005005,0.06006006,0.081081081,0.179179179,0.036036036,0.003003003,0.004004004,0.005005005,0,0,0,0,0,0.044044044,0.013013013,0.087087087,0.085085085,0.131131131,0.022022022,0.001001001,0,0,0,0,0,0,0.003003003,0.003003003,0.056056056,0.042042042,0.098098098,0.022022022,0.004004004,0.006006006,0,0,0,0.008008008,0,0,0.002002002,0.006006006,0.019019019,0.013013013,0.488488488,0.061061061,0.007007007,0.033033033,0.005005005,0,0.002002002,0,0,0,0.005005005,0.002002002,0.047047047,0.009009009,0.005005005,0,0,0,0,0,0,0.002002002,0,0,0.004004004,0,0.006006006,0.003003003,0.008008008,0,0,0.007007007,0,0,0.002002002,0,0.002002002,0,0.003003003,0.007007007,0.003003003,0.01001001,0.005005005,0.306306306,0.046046046,0.003003003,0,0.003003003,0,0.002002002,0.002002002,0,0.006006006,0.01001001,0.014014014,0.005005005,0.113113113,0.013013013,0.001001001,0,0,0.017017017,0.009009009,0.005005005,0.002002002,0,0,0,0,0,0.003003003,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,1,0.166166166,0.014014014,0.001001001,0.003003003,0,0,0,0.013013013,0.002002002,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0.003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015015015,0.004004004,0.009009009,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002002,0,0,0,0.002002002,0.002002002,0,0,0,0,0,0,0,0,0.005005005,0.002002002,0.002002002,0,0,0.002002002,0,0.007007007,0.002002002,0,0,0
4'-F-CyPr,0.173184789,0.139283886,0.012297912,0.067122757,0,0,0,0,0,0.010774297,0.018165582,0.012557762,0.008002085,0.007561148,0.020005163,0.021578624,0.019825289,0,0,0,0,0,0.009859765,0,0.012243818,0.007442143,0.013764804,0.03064367,0.341630893,0.052106322,0,0,0.009930541,0,0.011724825,0,0.116294182,0.021311999,0.025589019,0.010561462,0,0.022861902,0.014895205,0,0,0,0,0,0,0,0.013606265,0.008130898,0.091682383,0.047120122,0.016547127,0.17099992,0.033516081,0.008248084,0,0,0.017267429,0.006996453,0.115009286,0.051346284,0.013503336,0.018508039,0.008629468,0,0.066442899,0.007652955,0,0,0,0,0,0,0.021756374,0.037595534,0.017887532,0.010576123,0.025649786,0.056242902,0.153760802,0.009170099,0,0,0,0,0,0.057905238,0.028134848,0.080874821,0.01067339,0,0.010951845,0,0,0,0,0,0,0,0,0.012165054,0.010225578,0.50985931,0.067660455,0.020450448,0,0.008422902,0,0,0,0,0,0,0,0.03430989,0.009550977,0,0.029849559,0.008647769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011986394,0,0,0,0,0,0,0,0,0.013031459,0.014573779,0.548539341,0.075566588,0,0,0,0,0,0,0,0,0,0,0,0.013722844,0.011283888,0.026748843,0.010028819,0.016718406,0,0,0,0,0,0,0,0.087500608,0.011705109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16598541,0.016774016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
